h	samp_size	true_p_let	est_p_let	gamma+let	gamma+neu	gamma+neu+let	llike_cutoff
0	1000	0	0.0179657233	4	0	2	5
0	1000	0.01	0.01542075735	5	0	3	5
0	1000	0.05	0.01212230315	3	7	9	5
0	1000	0.1	0.00185569715	0	18	13	5
0.5	1000	0	0.0214704382	8	2	5	5
0.5	1000	0.01	0.030366006	10	0	6	5
0.5	1000	0.05	0.0630727236	20	0	18	5
0.5	1000	0.1	0.10639697625	20	0	20	5
0	1000	0	0.0179657233	4	0	2	5
0	1000	0.01	0.01542075735	5	0	3	5
0	1000	0.05	0.01212230315	3	7	9	5
0	1000	0.1	0.00185569715	0	18	13	5
0.5	1000	0	0.0214704382	8	2	5	5
0.5	1000	0.01	0.030366006	10	0	6	5
0.5	1000	0.05	0.0630727236	20	0	18	5
0.5	1000	0.1	0.10639697625	20	0	20	5
